Date,Open,High,Low,Close          Close price adjusted for splits.,Adj Close,Volume
"May 16, 2024",220.14,220.59,219.41,220.03,220.03,"4,301,700"
"May 15, 2024",219.06,221.19,217.65,220.89,220.89,"9,297,700"
"May 14, 2024",217.31,218.38,216.98,218.09,218.09,"4,662,700"
"May 13, 2024",217.06,217.31,215.8,216.26,216.26,"4,896,300"
"May 10, 2024",219.22,219.6,218.08,218.71,218.71,"8,700,900"
"May 9, 2024",214.48,216.95,214.44,216.95,216.95,"7,732,500"
"May 8, 2024",213.62,214.8,213.5,213.58,213.58,"4,462,700"
"May 7, 2024",214.52,214.93,213.88,214.21,214.21,"5,660,700"
"May 6, 2024",215.14,215.91,214.47,215.2,215.2,"6,840,500"
"May 3, 2024",212.89,213.23,210.71,212.96,212.96,"8,679,900"
"May 2, 2024",211.9,213.71,211.49,213.13,213.13,"6,287,000"
"May 1, 2024",212.96,215.5,212.41,213.79,213.79,"10,373,900"
"Apr 30, 2024",213.38,214.13,211.8,211.87,211.87,"11,248,600"
"Apr 29, 2024",216.02,217.22,215.25,216.18,216.18,"6,409,900"
"Apr 26, 2024",216.77,217.07,215.53,216.62,216.62,"6,268,500"
"Apr 25, 2024",214.47,217.05,214.34,215.92,215.92,"6,606,500"
"Apr 24, 2024",214.76,216.35,214.36,214.64,214.64,"5,741,100"
"Apr 23, 2024",213.96,215.86,213.87,215.04,215.04,"10,730,300"
"Apr 22, 2024",216.35,216.96,215.14,215.57,215.57,"13,404,300"
"Apr 19, 2024",220.49,222.36,220.08,221.03,221.03,"8,369,000"
"Apr 18, 2024",221.31,221.46,219.31,220.34,220.34,"6,496,900"
"Apr 17, 2024",221.05,221.76,218.52,219.59,219.59,"11,521,100"
"Apr 16, 2024",220.18,221.99,218.78,221.22,221.22,"10,746,100"
"Apr 15, 2024",217.94,221.03,215.16,220.95,220.95,"13,239,000"
"Apr 12, 2024",221.87,225.09,216.02,216.89,216.89,"30,876,600"
"Apr 11, 2024",216.85,219.84,215.89,219.8,219.8,"11,415,200"
"Apr 10, 2024",215.37,217.78,214.68,215.61,215.61,"13,317,500"
"Apr 9, 2024",217.81,218.86,216.45,217.67,217.67,"13,079,300"
"Apr 8, 2024",215.98,216.81,214.61,216.48,216.48,"10,331,400"
"Apr 5, 2024",212.49,215.74,212.22,215.14,215.14,"13,363,400"
"Apr 4, 2024",212,213.45,211.02,211.52,211.52,"12,307,300"
"Apr 3, 2024",210.57,212.83,210.3,212.74,212.74,"11,416,200"
"Apr 2, 2024",209.07,211.03,208.36,210.89,210.89,"13,421,100"
"Apr 1, 2024",208.68,208.73,206.29,207.82,207.82,"13,677,100"
"Mar 28, 2024",204.54,206.05,203.87,205.72,205.72,"9,194,500"
"Mar 27, 2024",202.32,203.22,202.32,203.1,203.1,"6,041,000"
"Mar 26, 2024",202.65,202.76,201.07,201.64,201.64,"5,752,700"
"Mar 25, 2024",201.19,201.95,200.97,200.99,200.99,"4,034,800"
"Mar 22, 2024",201.32,201.86,199.72,200.35,200.35,"6,913,600"
"Mar 21, 2024",203.88,203.92,200.6,201.97,201.97,"7,396,500"
"Mar 20, 2024",199.16,202.66,199.12,202.18,202.18,"9,593,800"
"Mar 19, 2024",199.62,199.81,198.94,199.8,199.8,"4,657,500"
"Mar 18, 2024",199.66,200.15,199.51,200.03,200.03,"7,206,800"
"Mar 15, 2024",199.94,200.63,199.57,199.71,199.71,"4,551,500"
"Mar 14, 2024",200.37,200.47,199.34,200.35,200.35,"6,865,000"
"Mar 13, 2024",200.44,201.86,200.35,201.19,201.19,"5,930,000"
"Mar 12, 2024",200.42,200.63,199.16,199.79,199.79,"9,436,600"
"Mar 11, 2024",201.71,202.41,201.46,202,202,"7,329,600"
"Mar 8, 2024",200.89,203.3,200.45,201.63,201.63,"13,516,800"
"Mar 7, 2024",199.54,200.11,198.91,199.94,199.94,"8,403,700"
"Mar 6, 2024",198.08,199.3,197.44,198.81,198.81,"10,459,300"
"Mar 5, 2024",197.44,198.14,196.65,197.19,197.19,"9,672,200"
"Mar 4, 2024",194.15,196.33,193.88,196.01,196.01,"12,216,300"
"Mar 1, 2024",190.27,193.4,189.44,192.89,192.89,"13,404,800"
"Feb 29, 2024",189.64,189.92,189.23,189.31,189.31,"6,848,600"
"Feb 28, 2024",188.34,188.52,188.03,188.34,188.34,"2,824,100"
"Feb 27, 2024",188.58,188.72,187.88,188,188,"5,165,400"
"Feb 26, 2024",187.79,188.36,187.53,188.2,188.2,"4,491,900"
"Feb 23, 2024",187.56,189.18,187.46,188.62,188.62,"6,827,300"
"Feb 22, 2024",187.56,187.64,187.05,187.56,187.56,"4,550,800"
"Feb 21, 2024",187.88,188.04,187.1,187.48,187.48,"5,790,000"
"Feb 20, 2024",187.96,188.03,187.4,187.47,187.47,"5,531,200"
"Feb 16, 2024",185.08,186.67,184.84,186.34,186.34,"6,516,800"
"Feb 15, 2024",185.6,186.02,185.1,185.66,185.66,"6,228,900"
"Feb 14, 2024",184.27,184.88,183.78,184.42,184.42,"7,031,600"
"Feb 13, 2024",185.35,185.38,184.33,184.53,184.53,"9,525,800"
"Feb 12, 2024",186.6,187.27,186.36,187.11,187.11,"4,706,300"
"Feb 9, 2024",187.56,187.77,187.14,187.6,187.6,"4,412,600"
"Feb 8, 2024",187.91,188.53,187.82,188.33,188.33,"3,873,300"
"Feb 7, 2024",188.45,189.39,188.28,188.5,188.5,"6,276,900"
"Feb 6, 2024",187.94,188.85,187.74,188.55,188.55,"4,866,100"
"Feb 5, 2024",186.88,187.82,186.7,187.57,187.57,"5,436,100"
"Feb 2, 2024",188.07,188.87,187.85,188.61,188.61,"7,337,000"
"Feb 1, 2024",189.71,191.36,188.99,190.41,190.41,"10,278,100"
"Jan 31, 2024",189.37,190.46,188.13,188.45,188.45,"7,886,100"
"Jan 30, 2024",189.7,189.83,187.98,188.59,188.59,"4,976,500"
"Jan 29, 2024",188.31,188.54,187.19,188.33,188.33,"5,629,700"
"Jan 26, 2024",187.27,187.38,186.76,187.01,187.01,"5,064,800"
"Jan 25, 2024",187.34,187.64,186.46,187.14,187.14,"4,651,000"
"Jan 24, 2024",188.33,188.37,186.32,186.4,186.4,"6,085,400"
"Jan 23, 2024",187.45,188.15,187.28,187.95,187.95,"5,040,800"
"Jan 22, 2024",187.23,187.76,186.85,187.22,187.22,"4,397,500"
"Jan 19, 2024",188.26,188.3,187.44,187.93,187.93,"5,719,100"
"Jan 18, 2024",186.36,187.4,186.3,187.37,187.37,"4,685,200"
"Jan 17, 2024",187.31,187.42,185.45,185.84,185.84,"8,643,200"
"Jan 16, 2024",189.15,189.26,187.54,187.91,187.91,"6,548,100"
"Jan 12, 2024",190.67,191.08,189.16,189.71,189.71,"6,831,400"
"Jan 11, 2024",188.02,188.55,186.56,187.87,187.87,"6,831,100"
"Jan 10, 2024",188.14,188.44,187.21,187.5,187.5,"4,504,700"
"Jan 9, 2024",188.68,188.78,187.73,187.93,187.93,"4,437,300"
"Jan 8, 2024",187.21,188.74,187.11,187.87,187.87,"6,215,000"
"Jan 5, 2024",189.68,191.26,189.08,189.35,189.35,"7,481,200"
"Jan 4, 2024",189.08,189.75,188.69,189.32,189.32,"4,416,700"
"Jan 3, 2024",188.77,189.86,188.16,189.13,189.13,"8,661,600"
"Jan 2, 2024",191.44,191.89,190.5,190.72,190.72,"6,025,600"
"Dec 29, 2023",190.99,191.64,190.74,191.17,191.17,"4,610,300"
"Dec 28, 2023",192.34,192.89,191.44,191.47,191.47,"6,171,500"
